customer ID,order date,sku_code,SKU id,sku_name,order_qty,order_unit,unit_selling_price
M1-PUMS-11,20/01/2023,PLT-SPHC10,PLT-SPHC1000,Besi Plat SPHC Tebal 16 mm x 1200 mm x 2400 mm (GG),1,Lembar,4766940
M1-PUMS-11,20/01/2023,PLT-SPHC8,PLT-SPHC1200-GG,Besi Plat SPHC Tebal 12 mm x 1200 mm x 2400 mm (GG),11,Lembar,3540600
M1-PUMS-11,20/01/2023,PLT-SPHC8,PLT-SPHC1200-GG,Besi Plat SPHC Tebal 12 mm x 1200 mm x 2400 mm (GG),14,Lembar,3540600
M1-PUMS-11,20/01/2023,SIK-4040,SIK-040040-IBB,Siku 40 mm x 40 mm x 6 mtr (KS),51,Batang,156600
M1-PUMS-11,20/01/2023,SIK-5050,SIK-050050-IBB,Siku 50 mm x 50 mm x 6 mtr (KS),72,Batang,246600
M1-PUMS-11,20/01/2023,SIK-6060,SIK-060060-IBB,Siku 60 mm x 60 mm x 6 mtr (KS),8,Batang,353700
M1-PUMS-11,20/01/2023,SIK-7070,SIK-070070-IBB,Siku 70 mm x 70 mm x 6 mtr (KS),8,Batang,482400
M1-PUMS-11,20/01/2023,SIK-8080,SIK-080080-IBB,Siku 80 mm x 80 mm x 6 mtr (KS),10,Batang,633150
M1-PUMS-11,20/01/2023,SIK-9090,SIK-090090-KS,Siku 90 mm x 90 mm x 6 mtr (KS),17,Batang,803700
M1-PUMS-11,20/01/2023,SIK-100100,SIK-100100-IBB,Siku 100 mm x 100 mm x 6 mtr (KS),1,Batang,990000
M1-PUMS-11,20/01/2023,SIK-100100,SIK-100100-IBB,Siku 100 mm x 100 mm x 6 mtr (KS),18,Batang,990000
M1-PUMS-11,20/01/2023,SIK-120120,SIK-120120-IBB,Siku 120 mm x 120 mm x 6 mtr (KS),5,Batang,1446300
M1-PUMS-11,20/01/2023,SIK-120120,SIK-120120-IBB,Siku 120 mm x 120 mm x 6 mtr (KS),20,Batang,1446300
M1-STQI-11,20/01/2023,PLT-SPHC2.8,PLT-SPHC0280,Plat Hitam Tebal 2.8 mm 1200 mm x 2400 mm,20,Lembar,902927
M1-SUGP-11,27/01/2023,SIK-4040,SIK-040040-IBB,Besi Siku 40 mm x 40 mm x 4 mm x 6 m IBB,30,Batang,162973
M1-SUGP-11,27/01/2023,SIK-5050,SIK-050050-IBB,Besi Siku 50 mm x 50 mm x 5 mm x 12 m IBB,60,Batang,514147
M1-SUGP-11,27/01/2023,SIK-6060,SIK-060060-IBB,Besi Siku 60 mm x 60 mm x 6 mm x 12 m IBB,50,Batang,737809
M1-SUGP-11,27/01/2023,SIK-7070,SIK-070070-IBB,Besi Siku 70 mm x 70 mm x 7 mm x 6 m IBB,120,Batang,503237
M1-SUGP-11,27/01/2023,SIK-8080,SIK-080080-IBB,Besi Siku 80 mm x 80 mm x 8 mm x 12 m IBB,15,Batang,1322680
M1-SUGP-11,27/01/2023,SIK-100100,SIK-100100-IBB,Besi Siku 100 mm x 100 mm x 8 mm x 12 m IBB,30,Batang,1674972
M1-SUGP-11,27/01/2023,SIK-120120,SIK-120120-IBB,Besi Siku 120 mm x 120 mm x 10 mm x 12 m IBB,11,Batang,2542785
M1-SUGP-11,27/01/2023,WF-300,WFL-300-GG,"Widge Flange 300 mm x 150 mm x 6,5 mm x 9 mm x 12 m GG",8,Batang,7706558
M1-ABDI-11,01/02/2023,UNP-200,UNP-200,UNP 200 mm x 80 mm x 7.5 mm x 6 m,20,Batang,2162162
M1-SURA-11,02/02/2023,PLT-SPHC1.2,PLT-SPHC0120,Besi Plat SPHC Tebal 1.2 mm x 1200 mm x 2400 mm,170,Lembar,432072
M1-SURA-11,02/02/2023,PLT-SPHC1.5,PLT-SPHC0150,Besi Plat SPHC Tebal 1.5 mm x 1200 mm x 2400 mm,20,Lembar,531261
M1-SURA-11,02/02/2023,PLT-SPHC2.0,PLT-SPHC0200,Besi Plat SPHC Tebal 2.0 mm x 1200 mm x 2400 mm,15,Lembar,634775
M1-STQI-11,03/02/2023,PLT-SPHC1.55,PLT-SPHC0155,"Plat Hitam Tebal 1.55 mm 1200 mm x 2400 mm AM/NS Import (Tol -/+ 0,2)",50,Lembar,502978
M1-ABDI-11,06/02/2023,UNP-120,UNP-120,UNP 120 mm x 55 mm x 6 mm x 12 m KS,6,Batang,1968468.468
M1-ABDI-11,06/02/2023,UNP-200,UNP-200,UNP 200 mm x 80 mm x 7.5 mm x 12 m KS,10,Batang,4533333.333
M1-SUGP-11,06/02/2023,PLT-KPL10,PLT-KPL0100,Plat Kapal Tebal 10mm KS,2,Batang,10333445
M1-SUGP-11,06/02/2023,SIK-4040,SIK-040040-IBB,Besi Siku 40 mm x 40 mm x 4 mm x 6 m,100,Batang,150990
M1-SUGP-11,06/02/2023,SIK-5050,SIK-050050-IBB,Besi Siku 50 mm x 50 mm x 5 mm x 6 m,30,Batang,198175
M1-SUGP-11,06/02/2023,SIK-120120,SIK-120120-IBB,Besi Siku 120 mm x 120 mm x 12 mm x 6 m,3,Batang,1259831
M1-SUGP-11,06/02/2023,SIK-120120,SIK-120120-IBB,Besi Siku 120 mm x 120 mm x 12 mm x 6 m,22,Batang,1321171
M1-SUGP-11,23/02/2023,PLT-KPL010,PLT-KPL0100,Plat Kapal 10 mm x 1500 mm x 6000 mm,2,Lembar,10333445
M1-SUGP-11,23/02/2023,SIK-05005005,SIK-050050-IBB,Besi Siku 50 mm x 50 mm x 5 mm x 6 m,30,Batang,198175
